year,County,Race_Ethnicity,leadingcause,Count,Annotation_Code,Annotation_Desc
2017,Amador,Non-Hispanic Native American/Alaskan Native,ALZ,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Other/Unknown,ALZ,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,ALZ,0,,
2017,Amador,Non-Hispanic White,ALZ,18,,
2017,Amador,Hispanic,CAN,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,CAN,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Black/African-American,CAN,0,,
2017,Amador,Non-Hispanic Multi-Race,CAN,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,CAN,0,,
2017,Amador,Non-Hispanic Other/Unknown,CAN,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,CAN,0,,
2017,Amador,Non-Hispanic White,CAN,80,,
2017,Amador,Hispanic,CLD,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,CLD,0,,
2017,Amador,Non-Hispanic Black/African-American,CLD,0,,
2017,Amador,Non-Hispanic Multi-Race,CLD,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,CLD,0,,
2017,Amador,Non-Hispanic Other/Unknown,CLD,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,CLD,0,,
2017,Amador,Non-Hispanic White,CLD,19,,
2017,Amador,Hispanic,DIA,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,DIA,0,,
2017,Amador,Non-Hispanic Black/African-American,DIA,0,,
2017,Amador,Non-Hispanic Multi-Race,DIA,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,DIA,0,,
2017,Amador,Non-Hispanic Other/Unknown,DIA,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,DIA,0,,
2017,Amador,Non-Hispanic White,DIA,,1,Cell suppressed for small numbers
2017,Amador,Hispanic,HOM,0,,
2017,Amador,Non-Hispanic Asian,HOM,0,,
2017,Amador,Non-Hispanic Black/African-American,HOM,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Multi-Race,HOM,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,HOM,0,,
2017,Amador,Non-Hispanic Other/Unknown,HOM,0,,
2017,Amador,Non-Hispanic Pacific Islander/Native Hawaiian,HOM,0,,
2017,Amador,Non-Hispanic White,HOM,0,,
2017,Amador,Hispanic,HTD,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Asian,HTD,0,,
2017,Amador,Non-Hispanic Black/African-American,HTD,,1,Cell suppressed for small numbers
2017,Amador,Non-Hispanic Multi-Race,HTD,0,,
2017,Amador,Non-Hispanic Native American/Alaskan Native,HTD,,1,Cell suppressed for small numbers
